Absolute Magnitude,Close Approach Date,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Epoch Osculation,Eccentricity,Perihelion Distance,Aphelion Dist,Perihelion Time,Mean Anomaly,Hazardous,Est Dia in M(avg)
23.9,9,38158.5373419197,58869008.0,485,5,0.110326,2458000.5,0.2254849824771856,1.090769447365912,1.725882064065323,2457721.451415724,164.561870327472,0,71.3744240651
26.9,9,82168.6631087621,70754448.0,259,7,0.00602602,2458000.5,0.2997332703803507,0.5893665944383424,1.093896566610185,2457932.078607813,87.3399513801906,0,17.9284447366
21.424,9,73347.2003754896,33566916.0,2368,6,0.0890355,2458000.5,0.1478846210086852,1.05313973556283,1.418684530323502,2457874.5638402095,90.33855226043312,0,223.22488960430002
17.3,10,82657.2597742512,12975059.0,2028,0,0.0591071,2458000.5,0.7766438887734538,0.5054986650569561,4.020893402579265,2458582.7329616738,191.4543290913346,0,1491.2230804117999
26.5,10,27059.2638778848,35312740.0,1675,1,0.00576149,2458000.5,0.01394849751423765,0.9748774271622922,1.002458289490842,2457942.407117798,58.24402434197092,0,21.5547314748
18.8,10,77525.044157425,69933392.0,959,1,0.264451,2458000.5,0.4445997797497422,1.249969644744861,3.251179613646277,2458488.2635855256,217.6120228280012,0,747.38197039275
28.15,10,48932.0385761632,48298924.0,2288,4,4.42295e-05,2458000.5,0.1458940283310568,0.8824711791485181,1.183949636114367,2458145.0120523744,224.3796113696917,0,10.08190537175
20.8,11,29476.3894326732,57238648.0,1366,2,0.0497576,2458000.5,0.2962061287988718,0.7404470355956286,1.363711769686226,2457881.0856817695,109.0655767033018,1,297.5381215558
25.6,11,50728.3313784829,40237380.0,1062,7,0.024568,2458000.5,0.1986104067958223,0.691858139126041,1.034788038945228,2458132.9450594713,197.2654367936369,0,32.62440628075
25.4,11,40318.2037961903,34836728.0,2252,5,0.0053862,2458000.5,0.177454625327355,0.7150686610562064,1.023604202652469,2457906.7139113224,114.0409109070574,0,35.77195014895
19.4,12,33497.5158818422,5421688.5,2279,1,0.0215286,2457800.5,0.1290438595815365,0.924256148461097,1.198138092922917,2457865.405627995,301.4816144786948,1,566.94720272105
21.0,12,93793.9698381571,59935336.0,2502,1,0.175606,2458000.5,0.5458440282992364,0.6753990636889152,2.298905385769806,2457734.9226792026,144.331764664412,0,271.35799198045004
20.9,12,69367.0052395429,65708916.0,2652,0,0.0337336,2458000.5,0.523263108804333,0.5635739270145939,1.800723602388418,2457785.992688909,164.4894216808606,1,284.1467001445
19.4,12,33497.5158868348,5421688.5,2307,1,0.020437,2458000.5,0.1290153472152782,0.924281132558361,1.198101000360374,2457865.4169557453,121.790814642756,1,566.94720272105
18.9,13,51633.110464672,33947260.0,2000,0,0.00433054,2458000.5,0.5324847482604941,0.9836605618535968,3.224375681642823,2457678.0535241137,104.1327876318541,1,713.74424065115
24.0,13,39036.7263062466,46063436.0,754,3,0.0666464,2458000.5,0.2473747528584077,0.7038679313112967,1.166566083451105,2458103.637073676,247.60414775645,0,68.16204581375
21.494,13,56443.3093445288,29137866.0,2296,5,0.0739088,2458000.5,0.3838850579102436,0.5385227928357914,1.209601643196272,2457968.782320913,38.2553300025332,0,216.14371757015
17.4,14,132850.0340120192,46238112.0,2164,0,0.0508661,2458000.5,0.5639780444598699,0.7515233037332082,2.695657711737653,2458079.9432658567,325.3972971861633,0,1424.1069858973501
22.1,14,56869.5062562905,27445294.0,1599,0,0.0549144,2458000.5,0.1538369907726766,0.9797020432957112,1.335932255561975,2458117.7636105367,267.2300401028926,0,163.50935932570002
21.6,14,73042.032156736,30440984.0,1276,0,0.0812573,2458000.5,0.4765100329390353,0.6561782958283874,1.850759132265511,2458112.460028539,281.3684518532314,0,205.84608752135
20.5,14,71477.4622295909,22393042.0,2318,1,0.117551,2458000.5,0.526542700061064,0.424378214626492,1.368299666488557,2457976.506133836,27.86736522773487,0,341.6194717976
21.0,14,88985.7187613528,51248596.0,544,2,0.00215466,2458000.5,0.5332462604352894,0.7718690780629323,2.535524147250137,2457669.892935062,153.2259944718528,1,271.35799198045004
22.2,14,41027.7681871315,34981784.0,396,1,0.0499383,2458000.5,0.4988696932157258,0.5514073407690427,1.649247192808834,2457807.135336048,165.1195034118488,0,156.15022590115
20.6,15,55639.5116057431,16406984.0,1215,7,0.0947896,2458000.5,0.4908497989594158,0.8460297131710548,2.477271393032841,2457629.305441272,170.8032501941032,0,326.2440628073
24.4,15,52866.635117418,57902824.0,2379,0,0.021176,2458000.5,0.1896829317424602,0.9996136278037018,1.46760239654394,2457831.3481179783,121.6788610599896,0,56.6947202721
18.8,15,70330.2149148512,51898464.0,932,2,0.0613713,2458000.5,0.591282535960133,0.9276200658506738,3.611555024353899,2458591.8746083123,189.5306371002728,0,747.38197039275
25.8,15,17366.0350781873,60106416.0,574,6,0.00120536,2458000.5,0.3500664333192877,0.887767715737998,1.844104467051184,2458076.200143044,313.2636057069759,0,29.75381215555
24.3,16,41429.694708589,3868730.5,1735,7,0.0222117,2458000.5,0.202625295607249,0.9996331192123424,1.507677718980407,2458106.3548874944,285.6728098139616,0,59.366660120649996
19.6,16,65997.8423187595,53124212.0,61,0,0.0142281,2457800.5,0.2348032024240591,0.9083322391102432,1.465781824063413,2457814.6715043797,349.2002761211894,1,517.0619942241
26.2,16,28534.9016509411,24354582.0,650,6,0.00634687,2458000.5,0.1197566329200361,0.9916838936130462,1.261520005901163,2458071.8892944315,301.1588142652097,0,24.7481430032
20.8,16,70802.2042868531,54831432.0,1269,1,0.113249,2458000.5,0.2991539178730141,0.6396741452705902,1.185759888202933,2458072.7060020766,278.3844048313936,0,297.5381215558
19.6,16,65997.7472403997,53124064.0,2398,0,0.014981,2458000.5,0.2347705612442139,0.9083854271018824,1.465766379129877,2457814.66831711,141.6139706740252,1,517.0619942241
20.616,16,62932.8813383124,48423144.0,2516,5,0.317486,2458000.5,0.4054789391223797,0.6317460700053416,1.493480811184605,2458183.941818243,194.9409036905404,0,323.849042135
17.5,17,58051.773848434,45024036.0,2132,0,0.0636542,2458000.5,0.5484018822965251,1.041709745961739,3.571727312895709,2457601.275168723,112.3129187151667,0,1360.0116132333
22.0,17,48510.8460294847,9816599.0,1487,7,0.0589302,2458000.5,0.30977234666475,0.7939214495671685,1.50654114630496,2458052.23419338,318.6663283583578,0,171.21531802344998
23.0,17,15594.1889718321,14103325.0,637,5,0.0949569,2458000.5,0.2318209307064729,1.104939298815686,1.771836033873,2458088.2088474487,309.8889442894267,0,108.0295623944
21.5,17,60977.876287972,46137780.0,640,4,0.0738937,2458000.5,0.5261474187914922,1.024458882212282,3.299497229199053,2458038.029903394,348.3639762732325,0,215.54731474814997
16.5,18,47212.3512417499,6895954.0,2034,0,0.0436453,2458000.5,0.3399797159866457,0.4971170038059509,1.009251863475384,2458103.876113845,204.1265053446825,1,2155.4731474815
20.2,18,39836.0840499454,73181936.0,1990,0,0.0270542,2458000.5,0.4614920351674892,0.5854347491409798,1.588849708557113,2458057.798667411,310.1782421031937,1,392.23163371830003
27.1,18,45187.8342415099,18219530.0,1149,1,0.00108035,2458000.5,0.3884472788369994,0.5080340104651575,1.153422125316629,2458016.8025449114,338.7787406603182,0,16.350935932549998
27.2,18,45095.5250793342,55870700.0,904,7,0.00396247,2458000.5,0.3601241569688025,0.5949216259896094,1.264569187638758,2458072.03320699,281.3559795432977,0,15.6150225901
21.571,18,46207.179438313,47410376.0,2595,5,0.119136,2458000.5,0.294842973658921,1.056712065099482,1.940385107944523,2457965.063673359,19.03910493734082,0,208.6135996099
18.7,19,87708.4402273942,67884888.0,2162,0,0.00197078,2458000.5,0.4921266252859243,0.8608344830581066,2.529122643726664,2457919.6516182907,36.11013318463239,1,782.60499749675
20.6,19,32231.4086108898,20690156.0,2080,0,0.0355235,2456346.5,0.4120948370750944,0.53725832544902,1.290445730681697,2456372.82623736,330.2984546084541,1,326.2440628073
18.1,19,56140.6957679617,57920168.0,2032,0,0.243876,2458000.5,0.3929044048426266,1.15783951534465,2.656516986598051,2457630.10940908,138.6044236764724,0,1031.67431157805
19.5,19,113787.8471836879,61771396.0,1894,0,0.00803028,2458000.5,0.5374951507131843,0.8576976934647692,2.851226417438468,2458244.0678961785,264.9401353771952,1,541.4303752642
18.7,19,115853.0607057031,35621844.0,2379,0,0.22291,2458000.5,0.790756960368756,0.2227408180390012,1.906274497658426,2457979.536854731,18.81210234352095,0,782.60499749675
18.7,19,115853.0611975708,35621840.0,2584,0,0.22291,2458000.5,0.7907569689137183,0.2227408089804583,1.906274507076694,2457979.536854091,18.8121029128578,0,782.60499749675
20.1,20,66663.0917440337,48037404.0,20,0,0.14088,2457600.5,0.2476966426679784,1.035508781059929,1.717393411832764,2457658.844275228,324.3908879648891,0,410.71694111505
20.1,20,112062.8027896715,71772336.0,1320,1,0.00799405,2458000.5,0.6073127022277187,0.6808684083377344,2.786869978925145,2458218.5062927664,265.8872187409405,1,410.71694111505
20.2,20,66663.0700108924,48037648.0,1873,0,0.141147,2458000.5,0.2476471761427561,1.035614874476747,1.717388348578214,2458248.6969151916,208.5269511313089,0,392.23163371830003
19.7,20,94852.3216501195,55637000.0,1358,1,0.200346,2458000.5,0.4364161676008859,1.06830786254198,2.722815307171073,2457581.9292042674,158.0760770160067,0,493.7903709975
16.7,21,73050.4772834677,60871124.0,2081,0,0.256265,2458000.5,0.707411422929393,0.5899899877241765,3.442908313577593,2458304.369211986,255.4052559846539,0,1965.8148744437
17.9,21,55231.9907943614,66316588.0,2007,0,0.0451383,2458000.5,0.2780787999190192,0.8587756107302781,1.520363859433351,2458067.793321121,308.879960955237,1,1131.20838816635
23.7,21,35390.6980282703,48873616.0,1071,6,0.0752783,2458000.5,0.222717159391895,0.7192703415881505,1.131459673306895,2458031.5589511907,325.6108650727421,0,78.2604997497
20.3,21,55490.6599830742,72039488.0,678,2,0.0449381,2458000.5,0.2710734108752346,0.5482644200232192,0.956041852249081,2458042.556090056,296.4561445080394,1,374.57830220405003
20.7,22,52917.5089169024,44574208.0,2035,0,0.143015,2458000.5,0.249441069304206,0.983258270673526,1.636811201451766,2458217.784534408,217.173539820518,0,311.56066121444996
17.5,22,76521.0623977573,45663968.0,2027,0,0.0197173,2458000.5,0.5749602982938385,0.9510206394415868,3.52395257187996,2458453.144808691,226.7028231177015,1,1360.0116132333
20.3,22,71455.0845598909,72342576.0,1843,0,0.122189,2458000.5,0.2568069943428223,1.016350997198721,1.718742012187178,2458225.7535616606,221.1766293872037,0,374.57830220405003
